(0.0,15.345965234419776)
(0.0,14.998563927266373)
(0.0,14.561846275654105)
(0.0,15.323986327701002)
(0.0,14.849528348105885)
(0.0,15.378053548971277)
(0.0,14.794468570922858)
(0.0,15.266827913861054)
(0.0,15.243017265167333)
(0.0,15.086856534412052)
(0.6931471805599453,15.312813027102877)
(0.6931471805599453,15.128241750574906)
(0.6931471805599453,15.218625812043175)
(0.6931471805599453,15.100842776386791)
(0.6931471805599453,15.29008477602532)
(0.6931471805599453,15.39888763587412)
(0.6931471805599453,14.935050521544047)
(0.6931471805599453,15.409144136041308)
(0.6931471805599453,15.043684362546843)
(0.6931471805599453,15.335036163887587)
(1.0986122886681098,14.813160703935011)
(1.0986122886681098,14.967311383762269)
(1.0986122886681098,15.23089590463499)
(1.0986122886681098,15.278523953624244)
(1.0986122886681098,14.867227925205286)
(1.0986122886681098,15.154909997657068)
(1.0986122886681098,15.25499345621405)
(1.0986122886681098,14.461762817097123)
(1.0986122886681098,15.301513471848942)
(1.3862943611198906,14.43509457001496)
(1.3862943611198906,15.193624509837758)
(1.3862943611198906,15.36747143964074)
(1.3862943611198906,14.585376773064299)
(1.3862943611198906,15.388524848838573)
(1.3862943611198906,14.756002290095061)
(1.3862943611198906,15.356776150523993)
(1.3862943611198906,15.013831399397162)
(1.3862943611198906,15.072671899420095)
(1.3862943611198906,15.206203292044618)
(1.3862943611198906,15.180885484060328)
(1.6094379124341003,14.775420375952164)
(1.6094379124341003,15.141664770907047)
(1.6094379124341003,15.058283161967996)
(1.6094379124341003,14.715996955481362)
(1.6094379124341003,14.695377668278628)
(1.6094379124341003,14.736199662798882)
(1.6094379124341003,14.630839147141057)
(1.6094379124341003,15.028869276761702)
(1.6094379124341003,14.983059740730408)
(1.6094379124341003,14.901714101276456)
(1.6094379124341003,14.951311042415828)
(1.791759469228055,14.537748724075044)
(1.791759469228055,14.608366291288997)
(1.791759469228055,14.513056111484673)
(1.791759469228055,15.419296507505326)
(1.791759469228055,14.674324259080795)
(1.791759469228055,14.831509842603207)
(1.9459101490553132,14.320684218837217)
(2.1972245773362196,14.487738303500382)
(2.1972245773362196,14.082273195392219)
(2.1972245773362196,14.652818053859832)
(2.5649493574615367,14.258163861855882)
(2.6390573296152584,14.407695595826846)
(2.6390573296152584,14.350537181986898)
(2.70805020110221,14.37952471886015)
(2.772588722239781,14.002230487718682)
(2.772588722239781,14.289912560170462)
(2.833213344056216,14.043052482238936)
(2.833213344056216,13.819908930924727)
(2.9444389791664403,13.959670873299887)
(2.9444389791664403,14.120013523375066)
(2.9444389791664403,14.225374039032891)
(3.044522437723423,14.19147248735721)
(3.091042453358316,14.15638116754594)
(3.1780538303479458,13.86869909509416)
(3.2188758248682006,13.915219110729051)
(3.5263605246161616,13.768615636537177)
(3.5263605246161616,13.657390001426952)
(3.713572066704308,13.7145484152669)
(3.7376696182833684,13.596765379610517)
(4.007333185232471,13.463233986985996)
(4.174387269895637,13.532226858472946)
(4.406719247264253,13.222071930169108)
(4.406719247264253,13.389126014832273)
(4.532599493153256,13.021401234706955)
(4.553876891600541,13.126761750364782)
(4.795790545596741,12.903618199050571)
(5.003946305945459,12.77008680642605)
(5.214935757608986,12.615936126598791)
(5.220355825078324,13.309083307158737)
(5.68697535633982,12.433614569804837)
(5.958424693029782,12.210471018490628)
(6.418364935936212,11.922788946038846)
(6.887552571664617,11.517323837930682)
(7.827639546366422,10.824176657370737)
(20.144780087122182,0.1)
