1	30885697
2	7280624
3	2891766
4	1675933
5	1040277
6	771905
7	535687
8	455100
9	351192
10	286301
11	229001
12	207684
13	168580
14	152943
15	134195
16	124851
17	108722
18	100224
19	90030
20	83481
21	73409
22	67856
23	62838
24	59962
25	56832
26	50846
27	47730
28	46668
29	45487
30	41385
31	35732
32	35149
33	32901
34	31745
35	29985
36	28940
37	26405
38	26361
39	24041
40	24239
41	21896
42	22325
43	21366
44	20035
45	19822
46	19104
47	18092
48	18877
49	16700
50	17018
51	14703
52	14249
53	13864
54	14191
55	12830
56	12181
57	12749
58	11400
59	10604
60	10835
61	10340
62	10265
63	9545
64	9486
65	8914
66	8933
67	8915
68	8295
69	8295
70	7993
71	7676
72	7653
73	7329
74	7129
75	6906
76	6851
77	6718
78	6539
79	6377
80	6451
81	6191
82	6314
83	5985
84	6024
85	5837
86	5606
87	5429
88	5384
89	5273
90	5325
91	5039
92	4943
93	4993
94	4873
95	4800
96	4621
97	4378
98	4766
99	4175
100	4293
101	4096
102	4097
103	3788
104	3812
105	3819
106	3774
107	3575
108	3353
109	3515
110	3356
111	3389
112	3352
113	3254
114	3187
115	3258
116	3206
117	3181
118	3099
119	3177
120	2952
121	2830
122	2928
123	2881
124	2763
125	2616
126	2831
127	2660
128	2546
129	2501
130	2484
131	2470
132	2425
133	2409
134	2374
135	3179
136	2701
137	2509
138	2320
139	2160
140	2209
141	2228
142	2241
143	2160
144	2177
145	2084
146	2196
147	2090
148	2026
149	2124
150	2005
151	1920
152	1956
153	1957
154	1834
155	1839
156	1959
157	1808
158	1862
159	1813
160	1801
161	1744
162	1684
163	1755
164	1712
165	1657
166	1585
167	1683
168	1619
169	1590
170	1555
171	1603
172	1597
173	1603
174	1607
175	1564
176	1599
177	1528
178	1427
179	1658
180	1747
181	1633
182	1853
183	1786
184	1486
185	2314
186	1849
187	1520
188	1619
189	2312
190	1403
191	2000
192	2351
193	2813
194	3748
195	3330
196	4316
197	4639
198	4927
199	5688
200	6357
201	5325
202	6715
203	5006
204	6889
205	6847
206	7929
207	6855
208	9164
209	8444
210	9906
211	10127
212	8913
213	11111
214	11696
215	10521
216	10062
217	11868
218	9996
219	8830
220	8291
221	9822
222	7736
223	11000
224	11477
225	11576
226	8885
227	5335
228	7012
229	7230
230	6450
231	3731
232	5448
233	6223
234	6279
235	4765
236	4411
237	3267
238	2104
239	3383
240	3446
241	2225
242	2247
243	2092
244	2635
245	2044
246	1468
247	1443
248	1543
249	972
250	1709
251	1049
252	774
253	947
254	878
255	1430
256	881
257	815
258	1145
259	913
260	900
261	748
262	775
263	707
264	742
265	785
266	753
267	758
268	699
269	754
270	708
271	714
272	731
273	703
274	670
275	739
276	730
277	719
278	685
279	716
280	746
281	726
282	692
283	690
284	683
285	688
286	631
287	709
288	657
289	675
290	658
291	661
292	673
293	650
294	581
295	637
296	623
297	594
298	640
299	567
300	625
301	639
302	653
303	560
304	632
305	594
306	600
307	589
308	587
309	644
310	623
311	556
312	588
313	616
314	557
315	561
316	558
317	546
318	544
319	542
320	555
321	529
322	561
323	535
324	511
325	523
326	550
327	535
328	495
329	508
330	577
331	500
332	515
333	518
334	475
335	539
336	518
337	539
338	554
339	493
340	519
341	484
342	498
343	512
344	485
345	494
346	487
347	489
348	479
349	473
350	504
351	493
352	452
353	499
354	435
355	491
356	432
357	465
358	472
359	430
360	456
361	450
362	405
363	451
364	429
365	425
366	424
367	425
368	436
369	396
370	395
371	407
372	421
373	408
374	439
375	429
376	464
377	392
378	406
379	413
380	397
381	423
382	418
383	382
384	417
385	433
386	394
387	383
388	398
389	386
390	391
391	369
392	427
393	408
394	374
395	368
396	376
397	395
398	366
399	406
400	348
401	357
402	356
403	364
404	353
405	361
406	378
407	333
408	328
409	352
410	373
411	314
412	323
413	373
414	395
415	337
416	345
417	336
418	359
419	373
420	335
421	350
422	315
423	344
424	304
425	338
426	323
427	348
428	289
429	359
430	294
431	337
432	330
433	301
434	344
435	305
436	318
437	305
438	291
439	340
440	309
441	299
442	307
443	321
444	311
445	271
446	285
447	298
448	272
449	292
450	319
451	302
452	259
453	274
454	308
455	328
456	296
457	283
458	284
459	290
460	286
461	282
462	265
463	238
464	279
465	274
466	278
467	261
468	258
469	274
470	226
471	283
472	291
473	259
474	297
475	260
476	278
477	245
478	231
479	254
480	266
481	255
482	238
483	245
484	230
485	254
486	260
487	248
488	272
489	236
490	271
491	246
492	233
493	233
494	254
495	233
496	252
497	255
498	238
499	252
500	248
501	214
502	237
503	223
504	257
505	226
506	231
507	201
508	198
509	244
510	223
511	219
512	207
513	224
514	237
515	227
516	252
517	212
518	200
519	230
520	239
521	254
522	224
523	201
524	203
525	226
526	182
527	234
528	208
529	197
530	238
531	215
532	191
533	193
534	201
535	197
536	216
537	211
538	183
539	227
540	173
541	217
542	190
543	196
544	202
545	175
546	201
547	199
548	175
549	198
550	188
551	177
552	193
553	189
554	186
555	183
556	204
557	178
558	200
559	176
560	187
561	193
562	192
563	204
564	177
565	189
566	187
567	170
568	199
569	174
570	188
571	193
572	177
573	203
574	198
575	205
576	188
577	187
578	183
579	214
580	177
581	190
582	184
583	191
584	187
585	232
586	185
587	172
588	181
589	206
590	198
591	179
592	182
593	192
594	178
595	192
596	184
597	179
598	194
599	194
600	177
601	201
602	194
603	195
604	188
605	184
606	197
607	189
608	182
609	193
610	186
611	196
612	174
613	176
614	191
615	188
616	189
617	221
618	175
619	185
620	200
621	182
622	187
623	170
624	193
625	196
626	181
627	185
628	164
629	177
630	188
631	182
632	172
633	159
634	150
635	158
636	150
637	177
638	195
639	173
640	163
641	156
642	159
643	151
644	159
645	144
646	166
647	186
648	172
649	167
650	164
651	162
652	160
653	150
654	166
655	171
656	172
657	126
658	165
659	124
660	166
661	147
662	144
663	132
664	168
665	147
666	149
667	136
668	172
669	158
670	144
671	142
672	153
673	157
674	142
675	144
676	153
677	149
678	156
679	150
680	152
681	147
682	149
683	136
684	118
685	145
686	146
687	136
688	134
689	117
690	126
691	156
692	143
693	156
694	148
695	146
696	124
697	131
698	111
699	118
700	128
701	142
702	132
703	135
704	128
705	132
706	116
707	140
708	143
709	130
710	119
711	134
712	122
713	151
714	126
715	106
716	120
717	126
718	120
719	135
720	123
721	113
722	124
723	110
724	137
725	113
726	124
727	110
728	134
729	124
730	106
731	122
732	142
733	109
734	125
735	126
736	119
737	109
738	125
739	106
740	137
741	98
742	121
743	133
744	110
745	121
746	135
747	125
748	108
749	99
750	118
751	122
752	129
753	107
754	110
